1000000
# Edges (u,v,w)
1 2 3
1 3 1
2 4 7
2 5 2
3 6 6
3 7 3
4 8 6
4 9 3
5 10 4
5 11 6
6 12 10
6 13 1
7 14 5
7 15 1
8 16 9
8 17 9
9 18 5
9 19 1
10 20 4
10 21 1
11 22 7
11 23 2
12 24 7
12 25 6
13 26 8
13 27 1
14 28 4
14 29 10
15 30 2
15 31 3
16 32 1
16 33 2
17 34 8
17 35 5
18 36 1
18 37 5
19 38 4
19 39 8
20 40 8
20 41 6
21 42 8
21 43 8
22 44 6
22 45 10
23 46 3
23 47 7
24 48 7
24 49 10
25 50 7
25 51 10
26 52 9
26 53 2
27 54 9
27 55 5
28 56 3
28 57 9
29 58 6
29 59 6
30 60 10
30 61 1
31 62 10
31 63 10
32 64 8
32 65 1
33 66 9
33 67 10
34 68 10
34 69 10
35 70 10
35 71 3
36 72 6
36 73 6
37 74 2
37 75 1
38 76 4
38 77 9
39 78 10
39 79 7
40 80 3
40 81 8
41 82 9
41 83 1
42 84 4
42 85 3
43 86 10
43 87 10
44 88 6
44 89 7
45 90 3
45 91 6
46 92 9
46 93 2
47 94 5
47 95 7
48 96 2
48 97 5
49 98 8
49 99 7
50 100 8
50 101 8
51 102 1
51 103 6
52 104 2
52 105 7
53 106 9
53 107 5
54 108 4
54 109 3
55 110 4
55 111 4
56 112 8
56 113 10
57 114 1
57 115 1
58 116 1
58 117 3
59 118 5
59 119 6
60 120 10
60 121 6
61 122 6
61 123 2
62 124 4
62 125 5
63 126 4
63 127 2
64 128 6
64 129 8
65 130 7
65 131 10
66 132 2
66 133 6
67 134 9
67 135 2
68 136 4
68 137 3
69 138 1
69 139 6
70 140 7
70 141 5
71 142 3
71 143 7
72 144 6
72 145 4
73 146 6
73 147 7
74 148 6
74 149 2
75 150 3
75 151 5
76 152 5
76 153 7
77 154 7
77 155 4
78 156 1
78 157 1
79 158 2
79 159 9
80 160 4
80 161 8
81 162 8
81 163 1
82 164 8
82 165 9
83 166 5
83 167 5
84 168 4
84 169 5
85 170 6
85 171 4
86 172 2
86 173 7
87 174 2
87 175 5
88 176 2
88 177 3
89 178 8
89 179 9
90 180 7
90 181 10
91 182 1
91 183 9
92 184 5
92 185 1
93 186 6
93 187 9
94 188 6
94 189 9
95 190 10
95 191 6
96 192 10
96 193 3
97 194 1
97 195 3
98 196 3
98 197 9
99 198 9
99 199 3
100 200 10
100 201 9
101 202 10
101 203 5
102 204 4
102 205 4
103 206 1
103 207 5
104 208 2
104 209 1
105 210 9
105 211 3
106 212 4
106 213 6
107 214 5
107 215 2
108 216 8
108 217 3
109 218 6
109 219 6
110 220 10
110 221 10
111 222 1
111 223 6
112 224 8
112 225 1
113 226 4
113 227 7
114 228 5
114 229 3
115 230 4
115 231 7
116 232 5
116 233 2
117 234 8
117 235 6
118 236 8
118 237 1
119 238 10
119 239 8
120 240 3
120 241 8
121 242 3
121 243 1
122 244 5
122 245 9
123 246 7
123 247 8
124 248 6
124 249 5
125 250 7
125 251 8
126 252 7
126 253 6
127 254 2
127 255 7
128 256 1
128 257 8
129 258 2
129 259 8
130 260 7
130 261 4
131 262 1
131 263 5
132 264 5
132 265 10
133 266 1
133 267 1
134 268 9
134 269 3
135 270 8
135 271 10
136 272 6
136 273 7
137 274 7
137 275 10
138 276 3
138 277 9
139 278 4
139 279 10
140 280 1
140 281 7
141 282 4
141 283 4
142 284 2
142 285 2
143 286 9
143 287 4
144 288 7
144 289 9
145 290 1
145 291 5
146 292 7
146 293 10
147 294 2
147 295 8
148 296 8
148 297 7
149 298 6
149 299 5
150 300 3
150 301 9
151 302 2
151 303 5
152 304 9
152 305 6
153 306 7
153 307 7
154 308 6
154 309 5
155 310 2
155 311 4
156 312 1
156 313 2
157 314 9
157 315 4
158 316 6
158 317 6
159 318 6
159 319 4
160 320 6
160 321 9
161 322 9
161 323 5
162 324 2
162 325 2
163 326 6
163 327 4
164 328 8
164 329 2
165 330 7
165 331 5
166 332 10
166 333 6
167 334 5
167 335 8
168 336 8
168 337 8
169 338 6
169 339 10
170 340 2
170 341 7
171 342 9
171 343 2
172 344 3
172 345 7
173 346 5
173 347 5
174 348 4
174 349 9
175 350 6
175 351 6
176 352 3
176 353 9
177 354 9
177 355 1
178 356 10
178 357 10
179 358 7
179 359 8
180 360 1
180 361 4
181 362 5
181 363 8
182 364 6
182 365 1
183 366 7
183 367 6
184 368 3
184 369 3
185 370 1
185 371 7
186 372 5
186 373 7
187 374 6
187 375 1
188 376 6
188 377 10
189 378 1
189 379 10
190 380 2
190 381 7
191 382 1
191 383 9
192 384 1
192 385 9
193 386 2
193 387 8
194 388 8
194 389 2
195 390 8
195 391 6
196 392 7
196 393 2
197 394 6
197 395 5
