# Edges (u,v,w)
1 2 3
1 3 6
2 4 4
2 5 10
3 6 7
3 7 3
4 8 3
4 9 2
5 10 3
5 11 8
6 12 4
6 13 7
7 14 5
7 15 7
8 16 8
8 17 6
9 18 2
9 19 10
10 20 8
10 21 9
11 22 6
11 23 6
12 24 10
12 25 10
13 26 6
13 27 6
14 28 6
14 29 9
15 30 10
15 31 4
16 32 8
16 33 10
17 34 6
17 35 8
18 36 4
18 37 9
19 38 7
19 39 4
20 40 6
20 41 8
21 42 9
21 43 9
22 44 9
22 45 4
23 46 3
23 47 6
24 48 7
24 49 3
25 50 7
25 51 1
26 52 5
26 53 3
27 54 4
27 55 10
28 56 6
28 57 6
29 58 8
29 59 8
30 60 3
30 61 5
31 62 6
31 63 1
32 64 4
32 65 7
33 66 4
33 67 8
34 68 7
34 69 4
35 70 6
35 71 1
36 72 8
36 73 6
37 74 4
37 75 10
38 76 1
38 77 1
39 78 1
39 79 10
40 80 10
40 81 4
41 82 5
41 83 7
42 84 10
42 85 1
43 86 6
43 87 9
44 88 10
44 89 3
45 90 6
45 91 4
46 92 4
46 93 6
47 94 4
47 95 2
48 96 7
48 97 6
49 98 2
49 99 9
50 100 3
