# Edges (u,v,w)
1 2 3
2 3 5
2 4 9
3 5 1
3 6 8
4 7 1
4 8 8
5 9 4
5 10 10
6 11 10
6 12 4
7 13 1
7 14 7
8 15 10
8 16 9
9 17 6
9 18 7
10 19 5
10 20 9
11 21 2
11 22 2
12 23 6
12 24 2
13 25 1
13 26 1
14 27 5
14 28 8
15 29 1
15 30 10
16 31 3
16 32 5
17 33 7
17 34 1
18 35 9
18 36 3
19 37 5
19 38 6
20 39 3
20 40 1
21 41 4
21 42 10
22 43 5
22 44 4
23 45 1
23 46 6
24 47 4
24 48 2
25 49 9
25 50 10
26 51 3
26 52 1
27 53 7
27 54 2
28 55 3
28 56 10
29 57 5
29 58 4
30 59 5
30 60 9
31 61 4
31 62 1
32 63 3
32 64 7
33 65 8
33 66 6
34 67 10
34 68 8
35 69 7
35 70 3
36 71 8
36 72 7
37 73 9
37 74 7
38 75 7
38 76 4
39 77 9
39 78 10
40 79 1
40 80 1
41 81 4
41 82 9
42 83 3
42 84 2
43 85 10
43 86 8
44 87 3
44 88 1
45 89 5
45 90 1
46 91 7
46 92 3
47 93 9
47 94 10
48 95 3
48 96 5
49 97 2
49 98 10
50 99 9
50 100 1
51 101 1
51 102 5
52 103 4
52 104 9
53 105 1
53 106 10
54 107 1
54 108 10
55 109 8
55 110 3
56 111 8
56 112 9
57 113 2
57 114 1
58 115 8
58 116 4
59 117 5
59 118 4
60 119 6
60 120 5
61 121 5
61 122 10
62 123 3
62 124 6
63 125 7
63 126 6
64 127 10
64 128 8
65 129 7
65 130 8
66 131 6
66 132 2
67 133 5
67 134 8
68 135 3
68 136 7
69 137 6
69 138 7
70 139 1
70 140 10
71 141 9
71 142 10
72 143 2
72 144 3
73 145 9
73 146 10
74 147 1
74 148 8
75 149 5
75 150 1
76 151 8
76 152 4
77 153 10
77 154 3
78 155 4
78 156 8
79 157 5
79 158 6
80 159 2
80 160 5
81 161 1
81 162 4
82 163 10
82 164 1
83 165 5
83 166 9
84 167 3
84 168 8
85 169 1
85 170 9
86 171 2
86 172 2
87 173 8
87 174 4
88 175 4
88 176 3
89 177 9
89 178 1
90 179 5
90 180 5
91 181 2
91 182 6
92 183 2
92 184 10
93 185 8
93 186 8
94 187 6
94 188 5
95 189 6
95 190 7
96 191 9
96 192 1
97 193 8
97 194 5
98 195 3
98 196 1
99 197 5
99 198 9
100 199 4
100 200 7
